동,거래월,아파트명,전용면적,층수,건설년도,거래금액
고강동,1,동광모닝스카이2차,84.98,5,2007,38000
고강동,1,고강2차,56.61,2,1986,17300
고강동,1,건우,48.18,1,1986,14900
고강동,1,동광모닝스카이2차,84.98,3,2007,39500
고강동,1,인성,40.95,1,1986,13000
고강동,1,부촌1차,38.27,4,1988,12000
고강동,1,인성,40.95,4,1986,12900
고강동,1,동문미도(327-7),51.3,1,1989,13000
고강동,1,진영,40.17,5,1987,11000
고강동,1,건우,48.9,2,1986,15000
고강동,1,삼우(396),46.26,3,1988,15600
고강동,1,부강1차,46.8,3,1987,14500
고강동,1,삼우(396),38.97,1,1988,13200
고강동,1,부촌2차,38.27,3,1988,12500
고강동,1,삼우(389-1),42.03,4,1987,13300
고강동,1,부촌1차,38.27,4,1988,13000
고강동,1,동광모닝스카이1차,84.98,1,2007,35800
고강동,1,홍익,48.45,4,1989,13500
고강동,1,삼우(389-1),42.03,2,1987,12800
고강동,1,동문미도(327-7),59.4,2,1989,18000
고강동,1,부강2차,45,5,1988,14500
고강동,1,삼우(389-1),42.03,1,1987,13300
고강동,1,진영,40.17,4,1987,12600
고강동,1,삼우(389-1),42.03,3,1987,13800
고강동,1,새보미,47.61,1,1986,15400
고강동,1,현대,45.28,1,1988,13700
고강동,1,동문미도(327-7),51.3,2,1989,13150
괴안동,1,복지,54.9,5,1986,18000
괴안동,1,대현8차,47.22,1,1987,13550
괴안동,1,대성(175-6),48.42,2,1988,15800
괴안동,1,조공2차,78.156,4,1985,29300
괴안동,1,조공2차,78.156,4,1985,30000
괴안동,1,모아,56.04,5,1986,15500
괴안동,1,조공1차,66.645,2,1984,26000
괴안동,1,성우,46.08,5,1987,12800
괴안동,1,삼익세라믹,84.93,9,1988,29800
괴안동,1,한아름1차다동,52.38,2,1986,17200
괴안동,1,거산,55.26,4,1992,18800
괴안동,1,현대5차,62.33,5,1989,22800
괴안동,1,삼익세라믹,84.93,3,1988,28200
괴안동,1,성우,49.23,2,1987,13000
괴안동,1,대진,55.98,3,1987,23000
괴안동,1,트윈파크,75.6518,10,2004,30200
괴안동,1,거산,55.26,3,1992,19500
괴안동,1,신일해피트리,84.75,10,2005,34500
괴안동,1,트윈파크,55.4428,9,2004,24300
괴안동,1,반도,56.314,9,2002,40000
괴안동,1,복지,42.66,1,1986,13900
괴안동,1,대성,41.76,5,1986,12750
괴안동,1,캐슬9 아파트,66.45,9,2019,35300
괴안동,1,복지,42.66,2,1986,13900
괴안동,1,현대허니문,43.74,2,1988,9900
괴안동,1,복지,54.9,5,1986,16200
괴안동,1,청암(91-2),56.61,1,1987,21800
괴안동,1,염광,43.69,5,1989,13500
괴안동,1,거산,55.26,1,1992,18700
괴안동,1,삼익3차,109.35,2,1990,32900
괴안동,1,대현9차,48.75,1,1987,14700
괴안동,1,청암(91-1)C동,37.08,5,1987,14300
괴안동,1,삼익3차,56.67,6,1990,20500
괴안동,1,성우2차,55.35,2,1985,36000
괴안동,1,덕림현대,44.8,4,1987,11900
괴안동,1,거산,67.38,2,1992,22900
괴안동,1,반도,56.314,7,2002,40000
괴안동,1,반도,56.314,3,2002,42000
괴안동,1,염광,52.33,3,1989,15900
괴안동,1,복지,54.9,4,1986,17400
괴안동,1,거산,67.38,1,1992,22200
괴안동,1,삼익3차,56.67,8,1990,21200
괴안동,1,염광,72.28,7,1989,20500
괴안동,1,대현9차,48.75,1,1987,14800
괴안동,1,덕림현대,49.2,2,1987,14500
괴안동,1,현대1차,37.96,5,1989,18200
괴안동,1,복지,42.66,1,1986,13500
괴안동,1,반도,56.26,4,2002,18000
괴안동,1,역곡두진,84.96,14,1998,28800
괴안동,1,조공1차,58.545,1,1984,22800
괴안동,1,네오빌,27.26,4,2002,11200
괴안동,1,삼익3차,70.41,11,1990,24000
괴안동,1,조공2차,78.156,4,1985,30500
괴안동,1,조공1차,61.275,3,1984,24500
괴안동,1,삼익세라믹,75.51,11,1988,26000
괴안동,1,역곡두진,84.96,8,1998,28500
괴안동,1,조공2차,78.156,4,1985,30000
괴안동,1,조공2차,78.156,4,1985,30500
내동,1,대성파크빌,82.14,4,2003,24000
도당동,1,푸른솔,42.36,2,1989,12500
도당동,1,우남(57-1),52.11,3,1990,17300
도당동,1,근화,55.8,5,1994,13000
도당동,1,복사골1(C동),40.44,4,1989,12250
도당동,1,우남(57-1),52.11,2,1990,17000
도당동,1,성원,52.58,3,1984,23300
도당동,1,성원,49.73,4,1984,22000
도당동,1,우남2차,59.13,3,1990,17100
도당동,1,진성그린테라스,76.08,8,2009,30950
범박동,1,범박휴먼시아2단지,84.93,8,2011,47500
범박동,1,부천범박힐스테이트 6단지,70.4,16,2003,36500
범박동,1,부천범박힐스테이트2단지,75.84,24,2004,42500
